"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DCV27I6J","thesis","2015","Thanapongtharm, Weerapong","Modelling the distribution of pig production and diseases in Thailand","","","","","","","2015","2015-10-15 05:57:14","2016-11-09 19:08:28","","","","","","","","","","","","","Brussels","","","","PhD","","","","","","","/home/yann/Work/Bibliography/Zotero/storage/MXXSUQIS/Thanapongtharm - 2015 - Modelling the distribution of pig production and d.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G2AIHZ82","thesis","2011","Cecchi, Giuliano","Biogeographical patterns of African trypanosomoses for improved planning and implementation of field interventions","","","","","","","2011","2016-11-09 17:36:12","2016-11-09 19:08:43","","","37","","","","","","","","","","Université Libre de Bruxelles","Brussels","","","PhD","","","","","","","/home/yann/Work/Bibliography/Zotero/storage/JUXGXMZN/Cecchi - 2011 - Biogeographical patterns of African trypanosomoses.pdf; /home/yann/Work/Bibliography/Zotero/storage/9VDN4MMP/Cecchi_Private_Defence.ppt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ITRB9MI3","thesis","2011","Martin, Vincent","Spatial distribution of ecological and socio-economic/trade related factors contributing to the persistence and spread of highly pathogenic avian influenza H5N1, with a special focus on southern China","","","","","","","2011","2016-11-09 17:38:27","2016-11-09 19:08:38","","","82","","","","","","","","","","Université Libre de Bruxelles","Brussels","","","PhD","","","","","","","/home/yann/Work/Bibliography/Zotero/storage/MUV85NI3/Martin - 2011 - Spatial distribution of ecological and socio-econo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TAZZZZV6","thesis","2011","Rigot, Thibaud","The space-time distribution of Palearctic Culicoides spp., vectors of Bluetongue disease in Europe","","","","","","","2011","2016-11-09 17:37:27","2016-11-09 19:08:35","","","125","","","","","","","","","","Université Libre de Bruxelles","Brussels","","","PhD","","","","","","","/home/yann/Work/Bibliography/Zotero/storage/F468EW8G/Pré-soutenance Thèse_v2.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MGEPQX7X","thesis","2013","Van Boeckel, Thomas P.","Intensive poultry production and highly pathogenic avian influenza H5N1 in Thailand: statistical and process-based models","","","","","","","2013","2016-10-18 17:08:50","2016-10-18 17:09:50","","","","","","","","","","","","","ULB","","","","PhD","","","","","","","/home/yann/Work/Bibliography/Zotero/storage/WAMV8CE6/Van Boeckel - Intensive poultry production and highly pathogenic.pdf; /home/yann/Work/Bibliography/Zotero/storage/GGWZA2XF/Viva_public.pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VMIFKC9U","thesis","2008","Delplace, David","Etude de méthodes de détection de foyers de scolytes (Coleoptera, Curculionidae) dans l'est de la France. Comparaison de techniques d'inventaires au sol, de surveillance aéroportée et de télédétection aérienne et satellitaire","","","","","","","2008","2016-11-09 17:33:23","2016-11-09 19:08:51","","","150","","","","","","","","","","Université Libre de Bruxelles","Brussels","","","PhD","","","","","","","/home/yann/Work/Bibliography/Zotero/storage/3IWSBMPA/Delplace - 2008 - Etude de méthodes de détection de foyers de scolyt.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6HTBAJGX","thesis","2010","Cappelle, Julien","Évaluation éco-épidémiologique du risque d'émergence du virus Influenza Aviaire Hautement Pathogène H5N1 dans le Delta Intérieur du Niger au Mali via l'avifaune sauvage","","","","","","","2010","2016-11-09 17:35:04","2016-11-09 19:08:46","","","249","","","","","","","","","","Université de Montpellier II & Université Libre de Bruxelles","","","","PhD","","","","","","","/home/yann/Work/Bibliography/Zotero/storage/WMXPE2T6/Cappelle - 2010 - Évaluation éco-épidémiologique du risque d'émergen.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
