"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AHJG98C2","thesis","2014","Duchatel, Florian","Développement d'un modèle multi-agents pour l'étude de la distribution spatio-temporelle du risque de transmission de la grippe aviaire autour du lac Poyang (Chine)","","","","","","","2014","2016-11-09 19:07:43","2016-11-09 19:08:16","","","","","","","","","","","","","Université Libre de Bruxelles","","","","MSc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MHV8PI23","thesis","2016","Allaert, Michael","Utilisation de données de téléphonie mobile pour l’évaluation de l’exposition à l’hantavirus en Belgique.","","","","","","","2016","2016-10-18 16:59:29","2016-10-18 17:06:28","","","","","","","","","","","","","ULB","","","","MSc","","","","","","","/home/yann/Work/Bibliography/Zotero/storage/ZZK69NJ3/Allaert - 2016 - Utilisation de données de téléphonie mobile pour l.pdf; /home/yann/Work/Bibliography/Zotero/storage/EZ5SQE2N/hantavirus2506.pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VVBSU3ST","thesis","2016","Boucart, Jérémie","Analyse spatio-temporelle des flux commerciaux internationaux d’animaux d’élevage","","","","","","","2016","2016-10-18 17:05:43","2016-10-18 17:06:18","","","","","","","","","","","","","ULB","","","","MSc","","","","","","","/home/yann/Work/Bibliography/Zotero/storage/3TQF7N2C/2016 Boucart Global animal trade flows.pptx; /home/yann/Work/Bibliography/Zotero/storage/PHTDRUE7/Boucart - 2016 - Analyse spatio-temporelle des flux commerciaux int.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BEHQDNA7","thesis","2006","Bonato, Pierre","Suivi de populations endémiques d’Ips typographus (Coleoptera : Scolytidae) en Région Wallonne à l’aide d’un réseau de pièges à phéromones","","","","","","","2006","2016-11-09 19:18:01","2016-11-09 19:18:20","","","","","","","","","","","","","Université Libre de Bruxelles","","","","MSc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83S7PD58","thesis","2006","Lévy, Yair","Un modèle spatial et temporel des populations d’Ips typographus en phase d’épidémie","","","","","","","2006","2016-11-09 19:17:22","2016-11-09 19:17:43","","","","","","","","","","","","","Université Libre de Bruxelles","","","","MSc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"THT9NH9D","thesis","2008","Pirard, Audrey","La propagation de la grippe aviaire en relation avec la géographie économique de la filière avicole","","","","","","","2008","2016-11-09 19:16:32","2016-11-09 19:16:57","","","","","","","","","","","","","Université Libre de Bruxelles","","","","MSc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QWNDK4CA","thesis","2008","Sotiaux, Alix","Identification des déterminants paysagers de la distribution spatiale de Culicoides imicola: analyse exploratoire","","","","","","","2008","2016-11-09 19:16:01","2016-11-09 19:16:20","","","","","","","","","","","","","Université Libre de Bruxelles","","","","MSc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UWHQI3TG","thesis","2009","Desphande, Savitri","Epidémiologie spatiale des défoliateurs des chênes en France sur base de dispositifs de surveillance entomologique","","","","","","","2009","2016-11-09 19:15:30","2016-11-09 19:15:50","","","","","","","","","","","","","Université Libre de Bruxelles","","","","MSc","","","","","","","/home/yann/Work/Bibliography/Zotero/storage/RSSZ7ATI/Deshpande_S-A_Mémoire_5_03-V20090825.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M66C2DU9","thesis","2009","Seghouane, Fatima","Analyse de la distribution du genre Culicoides, vecteur de la fièvre catarrhale ovine à l’échelle du paysage","","","","","","","2009","2016-11-09 19:14:41","2016-11-09 19:15:18","","","","","","","","","","","","","Université d’Orléans","","","","MSc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7RDFIR57","thesis","2009","Vercauteren Drubbel, Maëlle","Distribution des adultes du genre Culicoides, vecteurs de la fièvre catarrhale ovine, au sein de l'exploitation","","","","","","","2009","2016-11-09 19:13:22","2016-11-09 19:13:46","","","","","","","","","","","","","Université Libre de Bruxelles","","","","MSc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
